ID,name,category,main_category,currency,deadline,goal,launched,state,country,usd_goal_real,target
838102090.0,NautiCloud,Technology,Technology,USD,2012-03-06,34500.0,2012-01-06 20:48:16,failed,US,34500.0,0.0
517516345.0,FM Radio & 2015 Tour,R&B,Music,USD,2015-02-28,2500.0,2015-01-24 02:00:15,failed,US,2500.0,0.0
1409505461.0,Old Virginia Smoke Competition Barbecue and Catering,Food,Food,USD,2014-02-13,5000.0,2013-12-16 15:12:04,successful,US,5000.0,1.0
1078364175.0,The Sock Lab: Ultimate Everyday Socks,Fashion,Fashion,GBP,2017-10-19,4000.0,2017-09-04 08:46:05,successful,GB,5274.54,1.0
2086349711.0,Revealing the real Rhett Butler,Documentary,Film & Video,USD,2011-06-28,20000.0,2011-05-29 21:28:51,failed,US,20000.0,0.0
1925161252.0,Video Conversion for the NFWFWF Archive Project,Film & Video,Film & Video,USD,2016-05-06,1200.0,2016-04-06 04:31:59,successful,"N,0""",1200.0,1.0
885575937.0,Christmas Collection! - Shauna Chanda (Zimbelman),Faith,Music,USD,2016-06-08,15400.0,2016-04-29 02:00:40,successful,US,15400.0,1.0
1831610564.0,Medium Rare and Back Again:  A Tolkien Cookbook,Nonfiction,Publishing,USD,2012-12-20,10000.0,2012-11-20 06:10:26,successful,US,10000.0,1.0
590753190.0,"Fresh Vintage Shirts.  Distressed, retro styles only.",Apparel,Fashion,USD,2015-11-30,6000.0,2015-10-01 16:42:24,failed,US,6000.0,0.0
1778539459.0,"REGIONRAT, the movie",Drama,Film & Video,USD,2016-06-16,12000.0,2016-06-06 17:37:26,failed,US,12000.0,0.0
932276689.0,Pepper Zhang: Artist Extraordinaire! A Children's Book,Children's Books,Publishing,USD,2017-05-17,5000.0,2017-04-10 02:05:55,successful,US,5000.0,1.0
1304597315.0,Bring Renaud Garcia-Fons to Virginia!,World Music,Music,USD,2013-01-13,4500.0,2012-12-22 16:37:11,failed,US,4500.0,0.0
1850682380.0,iKirby.com.au,Webseries,Film & Video,AUD,2015-08-03,14560.0,2015-07-03 04:03:18,failed,AU,10757.3,0.0
1927913792.0,Mad Good - A foodie and her toadie,Food,Food,USD,2010-08-16,2200.0,2010-06-27 23:33:37,failed,US,2200.0,0.0
1452533532.0,"""ELLIOT"" Feature Documentary Film",Documentary,Film & Video,CAD,2013-12-03,10000.0,2013-11-05 00:36:10,failed,CA,9390.55,0.0
823896101.0,An Artistic Photograph @ DisneyWorld!,Places,Photography,USD,2014-08-08,5000.0,2014-07-09 03:48:26,failed,US,5000.0,0.0
346280241.0,Ayla - a feature film about life from death reborn,Drama,Film & Video,USD,2015-07-15,30000.0,2015-06-09 18:13:52,successful,US,30000.0,1.0
387717143.0,Destination Happiness Book-Limited Paperback Edition launch,Nonfiction,Publishing,EUR,2017-09-25,10000.0,2017-08-26 19:15:47,failed,ES,11805.96,0.0
2052513701.0,Help Teeria Legends stay online!,Video Games,Games,EUR,2015-02-14,1200.0,2014-12-16 18:39:19,failed,NL,1355.76,0.0
880752952.0,Shadows of Esteren - A Medieval Horror RPG: Tuath,Tabletop Games,Games,USD,2014-04-06,20000.0,2014-02-15 14:33:24,successful,US,20000.0,1.0
1441151372.0,computer controled router to make signs,Woodworking,Crafts,USD,2015-09-04,5000.0,2015-08-05 23:58:59,failed,US,5000.0,0.0
952403736.0,GEARS,Shorts,Film & Video,USD,2012-01-28,7000.0,2012-01-07 15:37:49,successful,US,7000.0,1.0
407675580.0,Rights of Passage,Theater,Theater,USD,2012-07-01,30000.0,2012-06-01 21:07:44,successful,US,30000.0,1.0
1568789329.0,InnerSpace,Video Games,Games,USD,2014-12-06,25000.0,2014-10-20 16:48:30,successful,US,25000.0,1.0
1819592079.0,Angry Young Women in Low Rise Jeans with High Class Issues!,Webseries,Film & Video,USD,2013-06-14,15000.0,2013-05-16 11:44:12,successful,US,15000.0,1.0
1518680675.0,Boho Chic Hand Made Jewelry,Fashion,Fashion,USD,2012-02-21,6500.0,2012-01-22 21:23:09,failed,US,6500.0,0.0
2057776638.0,The Reliquary: An Urban Fantasy Novel,Fiction,Publishing,USD,2015-03-11,5000.0,2015-02-09 01:37:38,failed,US,5000.0,0.0
1000479996.0,"Ebony Child:Music Artist drops New Album, Comic Book, & Film",Pop,Music,USD,2016-05-21,10000.0,2016-04-21 01:46:25,failed,US,10000.0,0.0
2043345497.0,"Sofia Talvik: ""Drivin' & Dreaming"" BOOK & LIVE ALBUM",Country & Folk,Music,USD,2013-08-02,3000.0,2013-06-03 15:53:34,successful,US,3000.0,1.0
1427569625.0,Screenplay--The Last Season,Film & Video,Film & Video,USD,2014-01-07,34500.0,2013-12-11 00:23:46,failed,US,34500.0,0.0
771324270.0,fountain of restoration youth band cd demo recording,Faith,Music,USD,2015-06-17,4000.0,2015-06-02 18:32:44,failed,US,4000.0,0.0
331121104.0,Telesomniac's Debut Album,Rock,Music,USD,2016-03-03,2500.0,2016-02-01 04:43:06,successful,US,2500.0,1.0
1213564184.0,52 LIVE UP... Playing/Challenge Cards Game,Playing Cards,Games,USD,2016-01-05,3100.0,2015-12-06 19:35:10,failed,US,3100.0,0.0
1173406209.0,The Darkness Of Day,Video Games,Games,USD,2015-11-11,300.0,2015-10-07 07:34:14,failed,US,300.0,0.0
957541906.0,"""Searching"" by Kamilah Glover & Conrad Henry",Narrative Film,Film & Video,USD,2017-08-04,4000.0,2017-07-05 08:03:55,failed,US,4000.0,0.0
2097331072.0,Bums: A Documentary about Stupid Snowboarders,Documentary,Film & Video,USD,2011-12-09,3000.0,2011-10-25 01:40:23,failed,US,3000.0,0.0
1397322604.0,Trevor Shaw's Big Audacious (Untitled) Choral Album,Classical Music,Music,USD,2014-09-26,1100.0,2014-09-12 00:02:07,successful,US,1100.0,1.0
383891212.0,Feels Like Home - Justin Thomas Ritchie's Debut CD,Music,Music,USD,2013-10-22,20000.0,2013-09-22 00:12:24,successful,US,20000.0,1.0
2049335955.0,"Innovative nursing bra built-in tank, dress and sports bra",Product Design,Design,USD,2017-08-31,10000.0,2017-08-01 01:32:29,successful,US,10000.0,1.0
791977563.0,Independence Flag Company,Woodworking,Crafts,USD,2017-06-25,21500.0,2017-05-26 18:59:09,failed,US,21500.0,0.0
640020213.0,Concensus - A quiz board game with a twist,Tabletop Games,Games,GBP,2015-09-05,10000.0,2015-08-06 17:35:43,failed,GB,15423.05,0.0
1854307234.0,Send MUGSS to Buxton 2013,Theater,Theater,GBP,2013-07-21,500.0,2013-06-21 16:13:34,successful,GB,769.99,1.0
1795104680.0,STAGE presents A Midsummer Night's Dream,Theater,Theater,USD,2012-07-05,1500.0,2012-06-05 07:19:07,successful,US,1500.0,1.0
683462201.0,The Urban Fabric | Dallas,Photobooks,Photography,USD,2016-05-05,2000.0,2016-04-28 17:14:49,successful,US,2000.0,1.0
1040118405.0,Rossling & Co - Ultra-Thin Watches & Tweed Straps,Product Design,Design,USD,2013-11-21,19200.0,2013-10-22 17:07:07,successful,US,19200.0,1.0
1575065570.0,Unbidden Garden,Fiction,Publishing,USD,2014-08-31,2500.0,2014-07-31 07:00:57,failed,US,2500.0,0.0
1506770927.0,Living Indigenous Museums Taonga (Treasures) Skills Exchange,Art,Art,NZD,2016-07-14,10000.0,2016-05-30 23:08:28,failed,NZ,7163.84,0.0
869381537.0,We need equipment to mass produce Amy's Chocolate!,Vegan,Food,USD,2017-10-14,25000.0,2017-09-14 02:44:33,failed,US,25000.0,0.0
371095356.0,THE GENTLEMANS GUIDE TO RACING,Documentary,Film & Video,USD,2013-10-25,34500.0,2013-09-25 18:55:35,failed,US,34500.0,0.0
41486592.0,I can ... so I will,Fashion,Fashion,USD,2015-06-08,2200.0,2015-05-18 18:57:41,failed,US,2200.0,0.0
